nombre,correo_electronico,telefono,direccion,ciudad,pais,codigo_postal,nit
Fernando SAZO,nataliawdyl@gmail.com,+502 4730-7129,Andador Bolivia 613 Interior 186,Quetzaltenango,Guatemala,18190-9378,1992709-9
Casa Stark Distribuidora,israel60@tello-cabrera.com,+502 2771-6991,Andador Bolivia 613 Interior 186,Antigua Guatemala,Guatemala,91390,1973060-8
Skywalker & Asociados,oarroyo@valdes.com,+502 2743-7955,Calle Sur Vásquez 821 Interior 993,Quetzaltenango,Guatemala,18190-9378,1991709-9
"Martínez, Rivero y Vigil",tnajera@proyectos.com,+503 2506-7499,"Continuación Norte Loera 118 Edif. 625 , Depto. 276",Mejicanos,El Salvador,18955,1831970-3
Villegas-Salgado S. R.L. de C.V.,fbarrientos@club.org,+52 3181-9858,Diagonal Quintana Roo 752 917,Puebla,México,34236,2976225-9
"Salgado, Blanco y de la Crúz",jpadilla@grupo.biz,+502 6764-4078,Cerrada Sur Borrego 233 079,Ciudad de Guatemala,Guatemala,44026,7247794-1
Cersei Lannister,paulina95@example.org,+503 6066-9711,Privada Norte Otero 617 Interior 603,Santa Ana,El Salvador,37215,8173808-5
Sra. Aurora Abrego,magdalenacampos@example.com,+52 4035-3945,Calzada Ocampo 459 571,Monterrey,México,77774,5095259-1
David Camilo Monroy,hermelinda28@example.org,+52 4358-2199,"Calle Baja California 414 Edif. 852 , Depto. 538",Puebla,México,39336-3387,2980815-8
Alicia Amaya Lemus,mhuerta@example.net,+502 5454-1642,Corredor Norte Blanco 137 353,Villa Nueva,Guatemala,99075-1163,2302255-8
Conchita Luisa Mercado Briseño,zrivas@example.net,+52 7695-6737,Callejón Camerún 297 299,Monterrey,México,52882-0018,9332820-9
Tyrion Lannister,elviaesquivel@example.org,+52 7710-2064,"Calzada Nuevo León 395 Edif. 486 , Depto. 205",Puebla,México,98682-8288,2017864-4
Mario Elizondo Acuña,jorge-luiscisneros@example.com,+52 7870-7320,"Continuación Sisneros 871 Edif. 803 , Depto. 340",Monterrey,México,87801,6821782-0
Helena Reina Santiago Zelaya,rodolforegalado@example.net,+503 6044-1965,"Periférico Georgia 372 Edif. 616 , Depto. 751",San Salvador,El Salvador,61341,4660918-4
